IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.61.203.115,8443,443,TRUE,FRA,Europe,Frankfurt,195,11.6
141.147.179.64,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,86,11.57
141.147.167.44,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,92,11.56
158.101.150.74,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,90,11.54
141.147.181.148,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,157,11.53
152.70.103.145,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,91,11.53
131.186.35.189,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,101,11.53
168.138.207.64,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,94,11.5
158.101.204.41,443,443,TRUE,FRA,Europe,Frankfurt,174,11.49
132.145.121.175,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,97,11.48
141.147.168.159,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,125,11.48
141.147.167.44,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,79,11.47
138.3.216.67,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,91,11.47
141.147.185.149,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,96,11.41
151.145.68.104,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,91,11.39
132.145.112.168,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,151,11.39
150.230.21.156,443,443,TRUE,FRA,Europe,Frankfurt,215,11.38
140.238.54.166,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,106,11.37
152.70.55.20,443,443,TRUE,FRA,Europe,Frankfurt,195,11.37
131.186.35.189,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,146,11.36
152.70.51.214,443,443,TRUE,FRA,Europe,Frankfurt,183,11.36
140.238.46.138,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,88,11.35
150.230.22.53,443,443,TRUE,FRA,Europe,Frankfurt,185,11.33
151.145.69.174,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,82,11.33
158.101.150.126,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,87,11.32
141.147.167.40,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,97,11.32
141.147.160.221,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,82,11.31
132.145.120.118,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,112,11.3
131.186.46.75,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,109,11.3
158.101.158.238,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,80,11.29
141.144.202.98,443,443,TRUE,FRA,Europe,Frankfurt,179,11.29
158.101.140.154,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,145,11.28
152.70.63.210,443,443,TRUE,FRA,Europe,Frankfurt,184,11.28
132.145.120.197,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,115,11.27
158.101.136.239,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,117,11.26
152.70.52.215,443,443,TRUE,AMS,Europe,Amsterdam,200,11.25
152.70.99.218,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,113,11.25
143.47.191.168,443,443,TRUE,FRA,Europe,Frankfurt,223,11.25
131.186.46.75,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,132,11.25
158.101.139.42,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,88,11.23
