IP:PORT, LOSS, DELAY
162.159.192.237:946,0.00%,143 ms
162.159.192.198:946,0.00%,144 ms
162.159.195.154:946,0.00%,144 ms
162.159.192.198:934,0.00%,144 ms
162.159.192.225:934,0.00%,145 ms
162.159.195.227:946,0.00%,146 ms
162.159.195.59:946,0.00%,147 ms
162.159.192.225:946,0.00%,153 ms
162.159.192.245:946,0.00%,153 ms
162.159.195.227:934,0.00%,153 ms
162.159.195.59:934,0.00%,154 ms
162.159.195.76:934,0.00%,154 ms
162.159.195.76:946,0.00%,154 ms
162.159.195.133:946,0.00%,154 ms
162.159.192.73:934,0.00%,155 ms
162.159.192.237:934,0.00%,155 ms
162.159.192.73:946,0.00%,156 ms
162.159.195.151:934,0.00%,157 ms
162.159.195.246:934,0.00%,158 ms
162.159.192.130:934,0.00%,162 ms
162.159.195.211:946,0.00%,163 ms
162.159.192.137:946,0.00%,164 ms
162.159.195.85:946,0.00%,164 ms
162.159.195.140:934,0.00%,164 ms
162.159.192.137:934,0.00%,164 ms
162.159.195.201:934,0.00%,166 ms
162.159.195.133:934,0.00%,166 ms
162.159.195.201:946,0.00%,166 ms
162.159.195.246:946,0.00%,166 ms
162.159.192.99:934,0.00%,170 ms
162.159.192.99:946,0.00%,170 ms
162.159.195.140:946,0.00%,171 ms
162.159.192.245:934,0.00%,171 ms
162.159.192.107:934,0.00%,172 ms
162.159.192.71:946,0.00%,172 ms
162.159.192.159:934,0.00%,172 ms
162.159.192.130:946,0.00%,172 ms
162.159.192.40:946,0.00%,173 ms
162.159.195.85:934,0.00%,175 ms
162.159.195.188:946,0.00%,176 ms
162.159.195.236:946,0.00%,178 ms
162.159.195.211:934,0.00%,179 ms
162.159.195.236:934,0.00%,180 ms
162.159.192.159:946,0.00%,182 ms
188.114.96.14:946,0.00%,185 ms
188.114.99.208:934,0.00%,186 ms
188.114.96.29:934,0.00%,186 ms
188.114.97.255:946,0.00%,187 ms
188.114.97.25:934,0.00%,187 ms
188.114.98.6:934,0.00%,187 ms
188.114.99.116:946,0.00%,188 ms
188.114.98.6:946,0.00%,188 ms
188.114.97.25:946,0.00%,188 ms
162.159.192.71:934,0.00%,189 ms
188.114.99.54:934,0.00%,190 ms
162.159.192.107:946,0.00%,190 ms
188.114.98.12:946,0.00%,190 ms
188.114.99.54:946,0.00%,190 ms
188.114.97.255:934,0.00%,190 ms
188.114.97.121:934,0.00%,191 ms
188.114.96.215:946,0.00%,191 ms
162.159.195.151:946,0.00%,191 ms
188.114.96.215:934,0.00%,191 ms
188.114.99.162:934,0.00%,192 ms
188.114.99.72:934,0.00%,192 ms
188.114.96.14:934,0.00%,193 ms
188.114.97.91:946,0.00%,197 ms
162.159.192.40:934,0.00%,198 ms
188.114.98.166:934,0.00%,209 ms
188.114.97.121:946,0.00%,209 ms
188.114.96.218:934,0.00%,209 ms
188.114.99.208:946,0.00%,210 ms
188.114.98.236:946,0.00%,210 ms
188.114.99.130:934,0.00%,210 ms
188.114.96.207:946,0.00%,210 ms
188.114.98.39:946,0.00%,211 ms
188.114.99.162:946,0.00%,211 ms
188.114.97.42:946,0.00%,211 ms
188.114.96.167:946,0.00%,211 ms
188.114.97.141:934,0.00%,211 ms
188.114.99.116:934,0.00%,211 ms
188.114.99.39:946,0.00%,211 ms
188.114.99.71:934,0.00%,211 ms
188.114.98.10:934,0.00%,211 ms
188.114.99.130:946,0.00%,211 ms
188.114.97.44:934,0.00%,211 ms
188.114.96.218:946,0.00%,211 ms
188.114.97.91:934,0.00%,212 ms
188.114.96.228:934,0.00%,212 ms
188.114.98.192:934,0.00%,212 ms
188.114.96.217:946,0.00%,212 ms
188.114.98.215:946,0.00%,212 ms
188.114.97.138:934,0.00%,212 ms
188.114.98.215:934,0.00%,212 ms
188.114.96.42:934,0.00%,213 ms
188.114.97.70:934,0.00%,213 ms
188.114.96.167:934,0.00%,213 ms
188.114.96.29:946,0.00%,213 ms
188.114.97.44:946,0.00%,213 ms
188.114.99.164:946,0.00%,213 ms
188.114.98.10:946,0.00%,213 ms
188.114.99.62:946,0.00%,213 ms
188.114.98.236:934,0.00%,213 ms
188.114.98.45:946,0.00%,213 ms
188.114.98.192:946,0.00%,214 ms
188.114.99.128:946,0.00%,214 ms
188.114.96.228:946,0.00%,214 ms
188.114.99.163:946,0.00%,214 ms
188.114.96.182:946,0.00%,214 ms
